,Species,Block,Street,Trap,Latitude,Longitude,WnvPresent,month,day,day_of_year,week,Station,Tmax,Tmin,Tavg,Depart,Heat,Cool,PrecipTotal,DayLength_MPrec,DayLength_NearH,NightLength_MPrec,NightLength_NearH,Sunrise_hours,Sunset_hours,blended_Tmax,blended_Tmin,blended_Depart,blended_Heat,blended_Cool,blended_PrecipTotal
0,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
2,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
4,CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
6,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
8,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
10,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
12,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
14,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
16,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
18,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
